user_id,timestamp,channel,converted
usr_100000,2026-05-09 18:08:00,Facebook,0
usr_100000,2026-05-11 03:08:00,Organic Search,0
usr_100001,2026-05-01 12:13:00,Instagram,0
usr_100002,2026-05-22 06:34:00,Facebook,0
usr_100003,2026-05-25 10:44:00,Organic Search,0
usr_100003,2026-05-25 16:44:00,Direct,0
usr_100004,2026-05-12 12:38:00,Instagram,0
usr_100005,2026-05-19 15:53:00,Instagram,0
usr_100005,2026-05-20 03:53:00,Instagram,0
usr_100005,2026-05-20 14:53:00,Google Ads,0
usr_100006,2026-05-03 12:55:00,Facebook,0
usr_100007,2026-05-13 23:13:00,Organic Search,0
usr_100007,2026-05-16 10:13:00,Direct,0
usr_100008,2026-05-19 06:15:00,Google Ads,0
usr_100009,2026-05-24 18:14:00,Direct,0
usr_100010,2026-05-11 22:17:00,Facebook,0
usr_100011,2026-05-05 17:08:00,Instagram,0
usr_100011,2026-05-06 05:08:00,Instagram,0
usr_100011,2026-05-06 15:08:00,Instagram,0
usr_100011,2026-05-06 19:08:00,Instagram,1
usr_100012,2026-05-07 03:10:00,Facebook,0
usr_100012,2026-05-07 10:10:00,Facebook,0
usr_100012,2026-05-07 18:10:00,Google Ads,0
usr_100012,2026-05-08 03:10:00,Direct,0
usr_100012,2026-05-09 04:10:00,Direct,0
usr_100013,2026-05-26 03:21:00,Facebook,0
usr_100013,2026-05-26 04:21:00,Organic Search,0
usr_100014,2026-05-28 23:32:00,Organic Search,0
usr_100014,2026-05-29 02:32:00,Organic Search,0
usr_100014,2026-05-29 11:32:00,Direct,0
usr_100014,2026-05-31 21:32:00,Direct,0
usr_100014,2026-05-31 22:32:00,Direct,0
usr_100015,2026-05-27 19:15:00,Instagram,0
usr_100016,2026-05-26 13:08:00,Facebook,0
usr_100016,2026-05-26 22:08:00,Facebook,0
usr_100016,2026-05-28 05:08:00,Google Ads,0
usr_100016,2026-05-30 14:08:00,Google Ads,0
usr_100017,2026-05-14 06:41:00,Google Ads,0
usr_100017,2026-05-14 10:41:00,Google Ads,0
usr_100017,2026-05-14 16:41:00,Email,0
usr_100018,2026-05-19 18:00:00,Google Ads,0
usr_100019,2026-05-02 15:04:00,Facebook,0
usr_100020,2026-05-25 02:36:00,Facebook,0
usr_100020,2026-05-26 06:36:00,Direct,0
usr_100021,2026-05-13 01:26:00,Google Ads,0
usr_100022,2026-05-21 09:03:00,Google Ads,0
